Date,Open ,High,Low,Close,Adj Close,Volume
"Mar 21, 2012",16.57,17.27,16.52,17.16,17.16,"47,321,400"
"Oct 4, 2002",0.52,0.53,0.45,0.47,0.47,"8,433,600"
"Aug 6, 2021",524,526.84,519.39,520.55,520.55,"1,919,800"
"May 24, 2024",639.4,652,637.6,646.75,646.75,"2,613,300"
"Aug 17, 2005",3.19,3.22,3.12,3.13,3.13,"4,997,300"
"Nov 30, 2021",668.2,675.38,640.01,641.9,641.9,"5,608,900"
"Sep 22, 2010",21.44,22.42,21.33,22.42,22.42,"62,444,900"
"Jan 6, 2020",323.12,336.36,321.2,335.83,335.83,"5,663,100"
"Dec 26, 2014",48.84,49.48,48.53,48.58,48.58,"8,847,300"
"Nov 24, 2017",196.65,196.9,195.33,195.75,195.75,"2,160,500"
"Jul 8, 2016",96,97.41,95.3,97.06,97.06,"8,335,400"
"May 28, 2008",4.57,4.63,4.42,4.45,4.45,"13,036,100"
"Feb 11, 2005",1.62,1.63,1.58,1.59,1.59,"8,241,800"
"Nov 24, 2004",1.56,1.64,1.53,1.62,1.62,"11,893,700"
"Jun 18, 2002",0.94,0.94,0.84,0.91,0.91,"10,808,000"
"Feb 12, 2007",3.29,3.35,3.28,3.3,3.3,"7,119,700"
"Jan 2, 2008",3.79,3.89,3.66,3.76,3.76,"12,527,900"
"Apr 6, 2018",289.1,298.85,285.65,288.85,288.85,"11,444,800"
"Feb 5, 2008",3.64,3.68,3.54,3.61,3.61,"8,945,300"
"May 7, 2010",13.86,14.29,12.92,13.01,13.01,"25,908,400"
"Jun 5, 2012",9.29,9.48,9.18,9.26,9.26,"24,048,500"
"Oct 9, 2007",3.18,3.29,3.17,3.26,3.26,"8,563,100"
"Feb 12, 2019",348.09,360,346.52,359.97,359.97,"10,429,400"
"Jun 2, 2017",163.42,165.36,162.8,165.18,165.18,"4,259,100"
"Dec 6, 2011",10.01,10.11,9.54,9.73,9.73,"59,470,600"
"Dec 12, 2014",47.42,48.32,46.98,47.78,47.78,"13,521,200"
"Sep 25, 2009",6.61,6.71,6.57,6.61,6.61,"4,308,500"
"Nov 3, 2006",3.82,3.92,3.74,3.81,3.81,"8,771,000"
"Dec 21, 2005",3.78,3.94,3.74,3.91,3.91,"22,873,200"
"Sep 11, 2024",677.46,682.97,660.8,681.47,681.47,"2,391,900"
"Nov 13, 2014",54.92,55.01,53.93,54.2,54.2,"10,490,200"
"Mar 4, 2019",359.72,362.25,348.04,351.04,351.04,"7,487,000"
"Aug 20, 2010",18.24,18.68,18.22,18.57,18.57,"24,221,400"
